title,price,year,description,region
JAC M3 Plus,"18 480 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.8 l, Benzin, Delfin, Miniven, Uzatish qutisi Mexanika, Yengil qotishmali disklar, Tonirovka, Biksenon, Xrustal optik…
                            ",Toshkent
JAC M3 Plus,"18 480 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.8 l, Benzin, Qora, Miniven, Uzatish qutisi Mexanika, Biksenon, Xrustal optika, Linzali optika, Tumanga qarshi chiroq…
                            ",Toshkent
Kia Cerato,"~24 560 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.6 l, Benzin, Uzatish qutisi Avtomat, Kia Qarshi Avtosaloni sizga qisqa muddatlarda Kia avtomobillarini yetkazib bera…
                            ",Qarshi
"Chevrolet Nexia 3, 2 pozitsiya EVRO","13 900 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Oyna isitgich, Audiosistema, Gidravlikali rul…
                            ",Toshkent
Jetour X70 Plus,"30 900 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.6 l, Benzin, Delfin, Hatchback, Uzatish qutisi Avtomat, Jetour x70plus. Oilaviy 7 kishilik nalochida delfin svet 1,…
                            ",Toshkent
Chevrolet Labo,"9 400 у.е.
                            ","
                                                    2021 yil,
                        ","
                                        Gaz-benzin, Pikup, Лабо минишга таёр. Хаммайуги шумка
                            ",Andijon
"Chevrolet Gentra, 2 pozitsiya","16 000 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        1.8 l, Benzin, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Oyna isitgich, Audiosistema, Gidravlikali rul…
                            ",Samarqand
Daewoo Damas,"~3 621 у.е.
                            ","
                                                    1996 yil,
                        ","
                                        Gaz, Sedan, Mator Xadavoy zadnimas zur karobkada 2 da ovoz ozroq bor boshqasida yuq
                            ",Samarqand
VAZ (Lada) 2106,"2 000 у.е.
                            ","
                                                    1988 yil,
                        ","
                                        1.6 l, Benzin, Sedan, Uzatish qutisi Mexanika, Mator biznomir yonilgʻi Mitan birzin kuzifda chaqasi bor karofka zadnim…
                            ",Samarqand
"Chevrolet Gentra, 1 pozitsiya Gaz-benzin","12 200 у.е.
                            ","
                                                    2015 yil,
                        ","
                                        1.8 l, Gaz-benzin, Sedan, Uzatish qutisi Mexanika, Oyna isitgich, Audiosistema, Gidravlikali rul, ABS, Butun elektr pa…
                            ",Toshkent
Jetour X70 Plus,"38 000 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        Benzin, Jetour x70plus Luxury Самая фуловая позиция 1, 6 турбо двигатель, 7 ступенчатый роботизированный коробка перед…
                            ",Samarqand
BYD Han EV,"~52 895 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        3 l, Elektr, 13 km, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tonirovka, Lyuk, Tom qopqog'i, Bikse…
                            ",Toshkent
VAZ (Lada) Largus,"15 000 у.е.
                            ","
                                                    2019 yil,
                        ","
                                        1.6 l, Gaz-benzin, 110 000 km, Oq, Universal, Uzatish qutisi Mexanika, Tonirovka, Ksenon, Tumanga qarshi chiroqlar, US…
                            ",Shahrisabz
"Chevrolet Malibu, 3 pozitsiya","19 500 у.е.
                            ","
                                                    2014 yil,
                        ","
                                        2.4 l, Benzin, 130 000 km, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chiroqla…
                            ",Toshkent
BYD Chazor,"~27 848 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, 13 km, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Xrustal optika, Linzali opti…
                            ",Toshkent
"Chevrolet Cobalt, 4 pozitsiya","16 500 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Duga, Tumanga qarshi chiroqlar, Oyna is…
                            ",Samarqand
